Nome,Nota,Data,Genêros,Material Fonte,Tipo,Número de episódios,Classificação,Posicionamento no ranking,Posicionamento de popularidade,Número de membros,Favoritos,Foto,Sinopse
Sousou no Frieren,9.27,"Sep 29, 2023 to Mar 22, 2024","['Adventure', 'Award Winning', 'Drama', 'Fantasy']",Manga,TV,28,PG-13 - Teens 13 or older,#1,#104,"1,413,150","88,180",https://myanimelist.net/images/anime/1015/138006.jpg,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her ""usual"" routine of collecting spells across the continent. Due to her different sense of time, she seemingly holds no strong feelings toward the experiences she went through.

As the years pass, Frieren gradually realizes how her days in the hero's party truly impacted her. Witnessing the deaths of two of her former companions, Frieren begins to regret having taken their presence for granted; she vows to better understand humans and create real personal connections. Although the story of that once memorable journey has long ended, a new tale is about to begin.

[Written by MAL Rewrite]"
Steel Ball Run: JoJo no Kimyou na Bouken,9.16,"Mar 19, 2026 to ?","['Action', 'Adventure', 'Mystery', 'Supernatural']",Manga,ONA,Unknown,R - 17+ (violence & profanity),#2,#1440,"191,089","6,074",https://myanimelist.net/images/anime/1448/154111.jpg,"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.

[Written by MAL Rewrite]"
Gintama',9.02,"Apr 4, 2011 to Mar 26, 2012","['Action', 'Comedy', 'Sci-Fi']",Manga,TV,51,PG-13 - Teens 13 or older,#11,#406,"612,318","8,591",https://myanimelist.net/images/anime/4/50361.jpg,"After a one-year hiatus, Shinpachi Shimura returns to Edo, only to stumble upon a shocking surprise: Gintoki and Kagura, his fellow Yorozuya members, have become completely different characters! Fleeing from the Yorozuya headquarters in confusion, Shinpachi finds that all the denizens of Edo have undergone impossibly extreme changes, in both appearance and personality. Most unbelievably, his sister Otae has married the Shinsengumi chief and shameless stalker Isao Kondou and is pregnant with their first child.

Bewildered, Shinpachi agrees to join the Shinsengumi at Otae and Kondou's request and finds even more startling transformations afoot both in and out of the ranks of the the organization. However, discovering that Vice Chief Toushirou Hijikata has remained unchanged, Shinpachi and his unlikely Shinsengumi ally set out to return the city of Edo to how they remember it.

With even more dirty jokes, tongue-in-cheek parodies, and shameless references, Gintama' follows the Yorozuya team through more of their misadventures in the vibrant, alien-filled world of Edo.

[Written by MAL Rewrite]"
Luo Xiaohei Zhanji 2,8.62,"Jul 18, 2025","['Adventure', 'Drama', 'Fantasy']",Original,Movie,1,G - All Ages,#101,#7419,"9,454",74,https://myanimelist.net/images/anime/1288/151853.jpg,"When an attack shatters the fragile peace between the spirit world and humanity, Hei teams up with Luye, the last disciple of his Shifu Wuxian, to expose a conspiracy that threatens both realms—and the bond they've sworn to protect.

(Source: AMC Theatres)"
Made in Abyss,8.62,"Jul 7, 2017 to Sep 29, 2017","['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Web manga,TV,13,R - 17+ (violence & profanity),#102,#92,"1,546,098","47,752",https://myanimelist.net/images/anime/6/86733.jpg,"The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface.

Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss.

[Written by MAL Rewrite]"
Shiguang Dailiren II,8.62,"Jul 14, 2023 to Sep 22, 2023","['Drama', 'Mystery', 'Suspense']",Original,ONA,12,R - 17+ (violence & profanity),#103,#1606,"170,773","2,162",https://myanimelist.net/images/anime/1897/137108.jpg,"The attempt to capture the mysterious perpetrator who possesses people ends tragically: Lu Guang is rushed to the hospital in a critical state, while Cheng Xiaoshi is arrested for the alleged crime. In light of recent events, the father of Liu Min unleashes his skilled, ruthless lawyer—Qian Jin—after Police Chief Li Xiao, who is spearheading the investigation related to the photo studio owned by Qiao Ling.

It appears that no one is safe from the unpredictable and fatal attacks of the adversary who painstakingly hides their identity. As he tries to learn from his past mistakes, Cheng Xiaoshi must act swiftly and decisively to put an end to this devastating trail of death.

[Written by MAL Rewrite]"
Bungou Stray Dogs 5th Season,8.61,"Jul 12, 2023 to Sep 20, 2023","['Action', 'Mystery']",Manga,TV,11,R - 17+ (violence & profanity),#104,#1086,"257,221","2,965",https://myanimelist.net/images/anime/1161/136691.jpg,"The Armed Detective Agency is still on the run from the Hunting Dogs, but not all hope is lost. Detective Ranpo Edogawa has a plan to prove the Agency's innocence and save the world from chaos: to find and capture Kamui—the leader of the terrorist organization Decay of the Angel. 

In order to determine Kamui's whereabouts, Ranpo and his colleague Atsushi Nakajima must convince Ouchi Fukuchi, the renowned captain of the Hunting Dogs, for amnesty. Although Fukuchi was tasked with arresting the members of the Agency, his past with the Agency's president, Yukichi Fukuzawa, may be the key to earning his trust. But unbeknownst to them, Fukuchi might not be as honorable as he proclaims.

[Written by MAL Rewrite]"
Guimi Zhi Zhu: Xiaochou Pian,8.61,"Jun 28, 2025 to Aug 16, 2025","['Action', 'Fantasy', 'Mystery', 'Suspense']",Web novel,ONA,13,R - 17+ (violence & profanity),#105,#1387,"200,025","4,095",https://myanimelist.net/images/anime/1952/149229.jpg,"In a Victorian world of steam, dreadnoughts, and occult horrors, Zhou Mingrui awakens as Klein Moretti. He walks a razor's edge between light and darkness, entangled with warring Churches. This is the legend of unlimited potential...and unspeakable danger.

(Source: Crunchyroll)"
Haikyuu!! Movie: Gomisuteba no Kessen,8.61,"Feb 16, 2024",['Sports'],Manga,Movie,1,PG-13 - Teens 13 or older,#106,#1248,"224,792","1,726",https://myanimelist.net/images/anime/1665/140360.jpg,"Kenma Kozume has never considered volleyball fun or thrilling: it is merely something he is good at. But now Nekoma High School's volleyball team has qualified for the Spring Nationals and prepares to battle their long-standing rivals—Karasuno. Now, Kenma has to analyze the most confounding and resilient team and lead Nekoma to victory against them. Moreover, he will play against his friend Shouyou Hinata, Karasuno's short but incredibly proficient middle blocker.

Karasuno has never been able to beat Nekoma in practice matches. Even so, despite his usual indifference, Kenma feels a tinge of excitement at the prospect of facing Karasuno in a high-stakes official game with no do-overs. To advance to the semifinals and ultimately restore their team's former glory, Karasuno must find a way to overcome Kenma's brilliant strategy and defeat Nekoma in their own territory.

[Written by MAL Rewrite]"
Hajime no Ippo: Rising,8.61,"Oct 6, 2013 to Mar 30, 2014",['Sports'],Manga,TV,25,PG-13 - Teens 13 or older,#107,#935,"297,852","1,420",https://myanimelist.net/images/anime/6/56147.jpg,"Japanese Featherweight Champion Makunouchi Ippo has defended his title belt once more with the help of his devastating signature move: the Dempsey Roll. However, new challengers are rising up left and right, claiming to have an answer for the move responsible for crushing his opponents. Will Ippo be able to step up to the challenge, or will the weight of his pride destroy him before he finds out just what it means to be strong? Meanwhile, fellow Kamogawa Gym mate Aoki Masaru is just a hop, skip, and a Frog Punch away from claiming his own belt, ready to take on the Japanese Lightweight Champion!

Hajime no Ippo: Rising continues Ippo's quest to become stronger, featuring the same cast of loveable dimwits from Kamogawa Gym, as they put their bodies and hearts on the line to make their way in the harsh world of professional boxing. With a will of iron, Ippo steps into the ring once again.

[Written by MAL Rewrite]"
